plate_alias,row,col,Neon-raw,Crim-raw,Neon-cfu,Crim-cfu,Neon-100,Crim-100
Nneon_WcrimLacZ_B_004_cropped,C,1,22055,122617,,,,
Nneon_WcrimLacZ_B_004_cropped,D,1,23324,142118,,,,
Nneon_WcrimLacZ_B_004_cropped,E,1,45899,77262,,,,
Nneon_WcrimLacZ_B_004_cropped,F,1,32083,177306,,,,
Nneon_WcrimLacZ_B_004_cropped,G,1,26420,137975,,,,
Nneon_WcrimLacZ_B_004_cropped,H,1,21092,77645,,,,
Nneon_WcrimLacZ_B_004_cropped,A,2,231372,2430,,,,
Nneon_WcrimLacZ_B_004_cropped,B,2,272936,8435,,,,
Nneon_WcrimLacZ_B_004_cropped,C,2,29280,77210,,,,
Nneon_WcrimLacZ_B_004_cropped,D,2,23179,106171,,,,
Nneon_WcrimLacZ_B_004_cropped,E,2,323432,4624,,,,
Nneon_WcrimLacZ_B_004_cropped,F,2,403518,29683,,,,
Nneon_WcrimLacZ_B_004_cropped,G,2,23550,74822,,,,
Nneon_WcrimLacZ_B_004_cropped,H,2,20674,145493,,,,
Nneon_WcrimLacZ_B_004_cropped,A,3,224105,2437,,,,
Nneon_WcrimLacZ_B_004_cropped,B,3,614009,1633,,,,
Nneon_WcrimLacZ_B_004_cropped,C,3,116224,7070,,,,
Nneon_WcrimLacZ_B_004_cropped,D,3,27733,84123,,,,
Nneon_WcrimLacZ_B_004_cropped,E,3,157622,2449,,,,
Nneon_WcrimLacZ_B_004_cropped,F,3,422678,3268,,,,
Nneon_WcrimLacZ_B_004_cropped,G,3,315307,7348,,,,
Nneon_WcrimLacZ_B_004_cropped,H,3,21016,105440,,,,
Nneon_WcrimLacZ_B_004_cropped,A,4,296027,3797,,,,
Nneon_WcrimLacZ_B_004_cropped,B,4,388422,3809,,,,
Nneon_WcrimLacZ_B_004_cropped,C,4,220353,4624,,,,
Nneon_WcrimLacZ_B_004_cropped,D,4,25920,2722,,,,
Nneon_WcrimLacZ_B_004_cropped,E,4,178056,3538,,,,
Nneon_WcrimLacZ_B_004_cropped,F,4,263288,4901,,,,
Nneon_WcrimLacZ_B_004_cropped,G,4,438774,5172,,,,
Nneon_WcrimLacZ_B_004_cropped,H,4,20603,1090,,,,
Nneon_WcrimLacZ_B_004_cropped,A,5,212736,23612,,,,
Nneon_WcrimLacZ_B_004_cropped,B,5,25272,138483,,,,
Nneon_WcrimLacZ_B_004_cropped,C,5,25146,146614,,,,
Nneon_WcrimLacZ_B_004_cropped,D,5,27251,101533,,,,
Nneon_WcrimLacZ_B_004_cropped,E,5,121070,25311,,,,
Nneon_WcrimLacZ_B_004_cropped,F,5,33849,167736,,,,
Nneon_WcrimLacZ_B_004_cropped,G,5,30003,331636,,,,
Nneon_WcrimLacZ_B_004_cropped,H,5,20674,110323,,,,
Nneon_WcrimLacZ_B_004_cropped,A,6,319635,5159,,,,
Nneon_WcrimLacZ_B_004_cropped,B,6,134687,14419,,,,
Nneon_WcrimLacZ_B_004_cropped,C,6,37195,185510,,,,
Nneon_WcrimLacZ_B_004_cropped,D,6,26404,151357,,,,
Nneon_WcrimLacZ_B_004_cropped,E,6,377999,4626,,,,
Nneon_WcrimLacZ_B_004_cropped,F,6,341321,23419,,,,
Nneon_WcrimLacZ_B_004_cropped,G,6,33159,119230,,,,
Nneon_WcrimLacZ_B_004_cropped,H,6,23053,195602,,,,
Nneon_WcrimLacZ_B_004_cropped,A,7,235566,4889,,,,
Nneon_WcrimLacZ_B_004_cropped,B,7,281635,816,,,,
Nneon_WcrimLacZ_B_004_cropped,C,7,289172,6799,,,,
Nneon_WcrimLacZ_B_004_cropped,D,7,25070,121145,,,,
Nneon_WcrimLacZ_B_004_cropped,E,7,210383,3265,,,,
Nneon_WcrimLacZ_B_004_cropped,F,7,287756,2996,,,,
Nneon_WcrimLacZ_B_004_cropped,G,7,70309,209629,,,,
Nneon_WcrimLacZ_B_004_cropped,H,7,26765,109242,,,,
Nneon_WcrimLacZ_B_004_cropped,A,8,187805,1902,,,,
Nneon_WcrimLacZ_B_004_cropped,B,8,320242,2992,,,,
Nneon_WcrimLacZ_B_004_cropped,C,8,188102,2448,,,,
Nneon_WcrimLacZ_B_004_cropped,D,8,21781,1633,,,,
Nneon_WcrimLacZ_B_004_cropped,E,8,382863,3810,,,,
Nneon_WcrimLacZ_B_004_cropped,F,8,397157,2179,,,,
Nneon_WcrimLacZ_B_004_cropped,G,8,250613,1906,,,,
Nneon_WcrimLacZ_B_004_cropped,H,8,20179,2179,,,,
Nneon_WcrimLacZ_B_004_cropped,A,9,151716,16851,,,,
Nneon_WcrimLacZ_B_004_cropped,B,9,22470,106090,,,,
Nneon_WcrimLacZ_B_004_cropped,C,9,24862,96031,,,,
Nneon_WcrimLacZ_B_004_cropped,D,9,24376,86827,,,,
Nneon_WcrimLacZ_B_004_cropped,E,9,89711,44907,,,,
Nneon_WcrimLacZ_B_004_cropped,F,9,31958,121159,,,,
Nneon_WcrimLacZ_B_004_cropped,G,9,24182,137768,,,,
Nneon_WcrimLacZ_B_004_cropped,H,9,24390,62375,,,,
Nneon_WcrimLacZ_B_004_cropped,A,10,146871,3262,,,,
Nneon_WcrimLacZ_B_004_cropped,B,10,185132,8704,,,,
Nneon_WcrimLacZ_B_004_cropped,C,10,27526,99566,,,,
Nneon_WcrimLacZ_B_004_cropped,D,10,20803,85732,,,,
Nneon_WcrimLacZ_B_004_cropped,E,10,216816,3266,,,,
Nneon_WcrimLacZ_B_004_cropped,F,10,275205,11435,,,,
