plate_alias,row,col,Neon-raw,Crim-raw
NW_bothcrimneon_allLacZ,B,4,356003,3706
NW_bothcrimneon_allLacZ,C,4,13607,3178
NW_bothcrimneon_allLacZ,D,4,14240,2119
NW_bothcrimneon_allLacZ,E,4,21467,174836
NW_bothcrimneon_allLacZ,F,4,19244,164507
NW_bothcrimneon_allLacZ,G,4,13757,4238
NW_bothcrimneon_allLacZ,H,4,12860,3179
NW_bothcrimneon_allLacZ,A,5,231364,151907
NW_bothcrimneon_allLacZ,B,5,239975,147198
NW_bothcrimneon_allLacZ,C,5,21037,129502
NW_bothcrimneon_allLacZ,D,5,25088,167912
NW_bothcrimneon_allLacZ,E,5,19109,126353
NW_bothcrimneon_allLacZ,F,5,20225,139340
NW_bothcrimneon_allLacZ,G,5,19871,183343
NW_bothcrimneon_allLacZ,H,5,16893,157366
NW_bothcrimneon_allLacZ,A,6,99701,130315
NW_bothcrimneon_allLacZ,B,6,243338,121781
NW_bothcrimneon_allLacZ,C,6,25555,163671
NW_bothcrimneon_allLacZ,D,6,25080,194925
NW_bothcrimneon_allLacZ,E,6,18690,145430
NW_bothcrimneon_allLacZ,F,6,19318,118146
NW_bothcrimneon_allLacZ,G,6,20293,157358
NW_bothcrimneon_allLacZ,H,6,18627,144900
NW_bothcrimneon_allLacZ,A,7,114591,2115
NW_bothcrimneon_allLacZ,B,7,189409,2383
NW_bothcrimneon_allLacZ,C,7,215195,3178
NW_bothcrimneon_allLacZ,D,7,231910,3178
NW_bothcrimneon_allLacZ,E,7,130257,73640
NW_bothcrimneon_allLacZ,F,7,152956,119990
NW_bothcrimneon_allLacZ,G,7,847594,2384
NW_bothcrimneon_allLacZ,H,7,252973,1325
NW_bothcrimneon_allLacZ,A,8,143753,4761
NW_bothcrimneon_allLacZ,B,8,184435,3441
NW_bothcrimneon_allLacZ,C,8,203070,4767
NW_bothcrimneon_allLacZ,D,8,212780,3707
NW_bothcrimneon_allLacZ,E,8,166221,67019
NW_bothcrimneon_allLacZ,F,8,239982,154433
NW_bothcrimneon_allLacZ,G,8,532545,3974
NW_bothcrimneon_allLacZ,H,8,342412,4768
