plate_alias,row,col,Neon-raw,Crim-raw,Neon-cfu,Crim-cfu
WCS365Neon-N2C3Crim-B,H,2,57120,2540,,
WCS365Neon-N2C3Crim-B,A,3,19253,160697,,
WCS365Neon-N2C3Crim-B,B,3,27664,267041,,
WCS365Neon-N2C3Crim-B,C,3,127688,46188,,
WCS365Neon-N2C3Crim-B,D,3,96445,22596,,
WCS365Neon-N2C3Crim-B,E,3,21499,159440,,
WCS365Neon-N2C3Crim-B,F,3,22681,86838,,
WCS365Neon-N2C3Crim-B,G,3,17980,55606,,
WCS365Neon-N2C3Crim-B,H,3,191883,20066,,
WCS365Neon-N2C3Crim-B,A,4,18261,285956,,
WCS365Neon-N2C3Crim-B,B,4,26193,152784,,
WCS365Neon-N2C3Crim-B,C,4,22046,181731,,
WCS365Neon-N2C3Crim-B,D,4,20302,78693,,
WCS365Neon-N2C3Crim-B,E,4,20018,98503,,
WCS365Neon-N2C3Crim-B,F,4,35908,276025,,
WCS365Neon-N2C3Crim-B,G,4,13978,69828,,
WCS365Neon-N2C3Crim-B,H,4,18266,203715,,
WCS365Neon-N2C3Crim-B,A,5,212900,126889,,
WCS365Neon-N2C3Crim-B,B,5,280490,8374,,
WCS365Neon-N2C3Crim-B,C,5,167813,3808,,
WCS365Neon-N2C3Crim-B,D,5,261704,3046,,
WCS365Neon-N2C3Crim-B,E,5,124057,158689,,
WCS365Neon-N2C3Crim-B,F,5,201395,15996,,
WCS365Neon-N2C3Crim-B,G,5,60775,3555,,
WCS365Neon-N2C3Crim-B,H,5,91357,4063,,
WCS365Neon-N2C3Crim-B,A,6,28018,345166,,
WCS365Neon-N2C3Crim-B,B,6,101886,40094,,
WCS365Neon-N2C3Crim-B,C,6,139275,5331,,
WCS365Neon-N2C3Crim-B,D,6,229771,2792,,
WCS365Neon-N2C3Crim-B,E,6,29296,242745,,
WCS365Neon-N2C3Crim-B,F,6,202537,101316,,
WCS365Neon-N2C3Crim-B,G,6,55157,21331,,
WCS365Neon-N2C3Crim-B,H,6,231391,4571,,
WCS365Neon-N2C3Crim-B,A,7,16993,159188,,
WCS365Neon-N2C3Crim-B,B,7,21407,157335,,
WCS365Neon-N2C3Crim-B,C,7,103563,54076,,
WCS365Neon-N2C3Crim-B,D,7,91284,25133,,
WCS365Neon-N2C3Crim-B,E,7,36588,317915,,
WCS365Neon-N2C3Crim-B,F,7,40881,244534,,
WCS365Neon-N2C3Crim-B,G,7,15946,61464,,
WCS365Neon-N2C3Crim-B,H,7,298960,8381,,
WCS365Neon-N2C3Crim-B,A,8,20853,215041,,
WCS365Neon-N2C3Crim-B,B,8,19663,198449,,
WCS365Neon-N2C3Crim-B,C,8,24014,164776,,
WCS365Neon-N2C3Crim-B,D,8,25706,167300,,
WCS365Neon-N2C3Crim-B,E,8,32390,166560,,
WCS365Neon-N2C3Crim-B,F,8,23106,149053,,
WCS365Neon-N2C3Crim-B,G,8,13771,56383,,
WCS365Neon-N2C3Crim-B,H,8,16716,138670,,
WCS365Neon-N2C3Crim-B,A,9,145915,49964,,
WCS365Neon-N2C3Crim-B,B,9,304416,10655,,
WCS365Neon-N2C3Crim-B,C,9,190534,4570,,
WCS365Neon-N2C3Crim-B,D,9,119602,2538,,
WCS365Neon-N2C3Crim-B,E,9,96088,217639,,
WCS365Neon-N2C3Crim-B,F,9,299004,15993,,
WCS365Neon-N2C3Crim-B,G,9,47691,3810,,
WCS365Neon-N2C3Crim-B,H,9,214731,2285,,
WCS365Neon-N2C3Crim-B,A,10,21062,194069,,
WCS365Neon-N2C3Crim-B,B,10,198027,68247,,
WCS365Neon-N2C3Crim-B,C,10,308081,5839,,
WCS365Neon-N2C3Crim-B,D,10,343963,3554,,
WCS365Neon-N2C3Crim-B,E,10,22341,114513,,
WCS365Neon-N2C3Crim-B,F,10,96338,114508,,
WCS365Neon-N2C3Crim-B,G,10,48125,20825,,
WCS365Neon-N2C3Crim-B,H,10,54938,4317,,
WCS365Neon-N2C3Crim-B,A,11,15792,105033,,
WCS365Neon-N2C3Crim-B,B,11,18886,84206,,
WCS365Neon-N2C3Crim-B,C,11,451275,123635,,
WCS365Neon-N2C3Crim-B,D,11,227569,11418,,
WCS365Neon-N2C3Crim-B,E,11,15316,75927,,
WCS365Neon-N2C3Crim-B,F,11,16719,110154,,
WCS365Neon-N2C3Crim-B,G,11,15526,42922,,
WCS365Neon-N2C3Crim-B,H,11,40682,4315,,
WCS365Neon-N2C3Crim-B,A,12,13830,83216,,
WCS365Neon-N2C3Crim-B,B,12,13969,57045,,
WCS365Neon-N2C3Crim-B,C,12,12634,79717,,
WCS365Neon-N2C3Crim-B,D,12,13342,61370,,
WCS365Neon-N2C3Crim-B,E,12,16435,96493,,
WCS365Neon-N2C3Crim-B,F,12,13069,55304,,
WCS365Neon-N2C3Crim-B,G,12,11660,34541,,
WCS365Neon-N2C3Crim-B,H,12,12646,25624,,
WCS365Neon-N2C3Crim-C,A,1,71268,113850,,
WCS365Neon-N2C3Crim-C,B,1,128168,9139,,
WCS365Neon-N2C3Crim-C,C,1,245488,3551,,
WCS365Neon-N2C3Crim-C,D,1,192433,3809,,
WCS365Neon-N2C3Crim-C,E,1,148485,132468,,
WCS365Neon-N2C3Crim-C,F,1,540971,8635,,
WCS365Neon-N2C3Crim-C,G,1,343574,2284,,
WCS365Neon-N2C3Crim-C,H,1,159828,3302,,
WCS365Neon-N2C3Crim-C,A,2,15247,105328,,
WCS365Neon-N2C3Crim-C,B,2,100675,73626,,
WCS365Neon-N2C3Crim-C,C,2,339831,5837,,
WCS365Neon-N2C3Crim-C,D,2,175806,3809,,
WCS365Neon-N2C3Crim-C,E,2,33625,283886,,
WCS365Neon-N2C3Crim-C,F,2,301985,140207,,
WCS365Neon-N2C3Crim-C,G,2,84075,4062,,
WCS365Neon-N2C3Crim-C,H,2,96519,1270,,
WCS365Neon-N2C3Crim-C,A,3,15092,125358,,
WCS365Neon-N2C3Crim-C,B,3,26168,232055,,
WCS365Neon-N2C3Crim-C,C,3,206859,89615,,
WCS365Neon-N2C3Crim-C,D,3,194211,6856,,
WCS365Neon-N2C3Crim-C,E,3,24069,233646,,
WCS365Neon-N2C3Crim-C,F,3,29112,264680,,
WCS365Neon-N2C3Crim-C,G,3,274293,101575,,
WCS365Neon-N2C3Crim-C,H,3,91931,15497,,
WCS365Neon-N2C3Crim-C,A,4,15790,168581,,
WCS365Neon-N2C3Crim-C,B,4,22799,221107,,
WCS365Neon-N2C3Crim-C,C,4,20694,173159,,
WCS365Neon-N2C3Crim-C,D,4,29332,321501,,
WCS365Neon-N2C3Crim-C,E,4,31292,188699,,
WCS365Neon-N2C3Crim-C,F,4,22182,242065,,
WCS365Neon-N2C3Crim-C,G,4,20420,167132,,
WCS365Neon-N2C3Crim-C,H,4,15159,188237,,
WCS365Neon-N2C3Crim-C,A,5,122541,133743,,
WCS365Neon-N2C3Crim-C,B,5,290976,20813,,
WCS365Neon-N2C3Crim-C,C,5,250125,2539,,
WCS365Neon-N2C3Crim-C,D,5,465802,1777,,
WCS365Neon-N2C3Crim-C,E,5,138985,247637,,
WCS365Neon-N2C3Crim-C,F,5,518238,10412,,
WCS365Neon-N2C3Crim-C,G,5,450168,3556,,
WCS365Neon-N2C3Crim-C,H,5,219986,3556,,
WCS365Neon-N2C3Crim-C,A,6,20206,168546,,
WCS365Neon-N2C3Crim-C,B,6,302222,139868,,
WCS365Neon-N2C3Crim-C,C,6,206163,10664,,
WCS365Neon-N2C3Crim-C,D,6,358947,4063,,
WCS365Neon-N2C3Crim-C,E,6,26242,245600,,
WCS365Neon-N2C3Crim-C,F,6,342882,140200,,
WCS365Neon-N2C3Crim-C,G,6,207481,8128,,
WCS365Neon-N2C3Crim-C,H,6,199196,3556,,
WCS365Neon-N2C3Crim-C,A,7,15293,155928,,
WCS365Neon-N2C3Crim-C,B,7,23989,146719,,
WCS365Neon-N2C3Crim-C,C,7,304424,110709,,
WCS365Neon-N2C3Crim-C,D,7,150113,28185,,
WCS365Neon-N2C3Crim-C,E,7,23015,211836,,
WCS365Neon-N2C3Crim-C,F,7,31578,199130,,
WCS365Neon-N2C3Crim-C,G,7,72141,98302,,
WCS365Neon-N2C3Crim-C,H,7,110908,9144,,
WCS365Neon-N2C3Crim-C,A,8,16205,159517,,
WCS365Neon-N2C3Crim-C,B,8,19716,291655,,
WCS365Neon-N2C3Crim-C,C,8,22097,172932,,
