experiment	transfer_h	strain1	strain2	strain2_od	WN_FC_fluor_offset	Healthiness_hsv	strain1_meanCount	strain1_sd	plant_quality	Alive	batchtest	strain2_meanCount	strain2_sd	ratioCFU_S12	S12_FC_inocCFU	WN_FC_inocCFU	Treatment	rep_on	treatment
2024-03-20	0	N2C3	WCS365	0.005	3.11642984788833	435.682868434871	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.005	-3.02316139428496	391.61005972649	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.005	-3.30949850378884	99.70943919801	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.005	-3.06775308833993	438.332940037715	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.005	-0.812879810131302	424.771862849319	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.005	-4.13816347564774	412.938142213585	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.005	-3.01877512863701	365.365432098351	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.015	4.05304452662641	437.267008490471	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.015	4.29771181430418	424.269758102802	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.015	4.23349534811295	434.604743298937	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.015	5.02251817364174	398.326908724835	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.015	4.42366198979463	422.593162584507	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.015	-4.41348919805883	424.767349161113	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.015	-4.12955025863674	413.488473111501	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.015	-4.56696296521942	264.748405524251	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.015	-3.24269173684473	405.022822573646	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.015	-4.51792928088214	464.207827603961	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-05	4.93266898621521	442.049074538623	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-05	5.12919749246465	482.893731759927	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-05	4.98164927196772	476.832741891275	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-05	4.3152909650288	457.706147923197	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-05	5.77604758832783	494.800786413356	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	5e-05	-0.582553338624061	488.571316276118	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	5e-05	-2.10192321491389	396.777471130207	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	5e-05	-2.60897942856878	441.49809140475	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	5e-05	-2.49435229935504	421.771681186086	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	5e-05	-2.84845059454408	450.567543959889	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-04	2.60644969620729	398.770023575375	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
