plate,row,col,od_after
N2C3_WCS365_DAY7_003_a,B,1,0.3024
N2C3_WCS365_DAY7_003_a,C,1,0.3402
N2C3_WCS365_DAY7_003_a,D,1,0.3629
N2C3_WCS365_DAY7_003_a,E,1,0.1487
N2C3_WCS365_DAY7_003_a,F,1,0.1054
N2C3_WCS365_DAY7_003_a,G,1,0.1428
N2C3_WCS365_DAY7_003_a,H,1,0.1664
N2C3_WCS365_DAY7_003_a,A,2,0.1458
N2C3_WCS365_DAY7_003_a,B,2,0.1412
N2C3_WCS365_DAY7_003_a,C,2,0.1359
N2C3_WCS365_DAY7_003_a,D,2,0.1278
N2C3_WCS365_DAY7_003_a,E,2,0.1167
N2C3_WCS365_DAY7_003_a,F,2,0.1388
N2C3_WCS365_DAY7_003_a,G,2,0.123
N2C3_WCS365_DAY7_003_a,H,2,0.149
N2C3_WCS365_DAY7_003_a,A,3,0.1424
N2C3_WCS365_DAY7_003_a,B,3,0.1348
N2C3_WCS365_DAY7_003_a,C,3,0.1367
N2C3_WCS365_DAY7_003_a,D,3,0.1029
N2C3_WCS365_DAY7_003_a,E,3,0.1267
N2C3_WCS365_DAY7_003_a,F,3,0.1088
N2C3_WCS365_DAY7_003_a,G,3,0.1036
N2C3_WCS365_DAY7_003_a,H,3,0.1113
N2C3_WCS365_DAY7_003_a,A,4,0.1157
N2C3_WCS365_DAY7_003_a,B,4,0.1671
N2C3_WCS365_DAY7_003_a,C,4,0.1361
N2C3_WCS365_DAY7_003_a,D,4,0.1167
N2C3_WCS365_DAY7_003_a,E,4,0.1097
N2C3_WCS365_DAY7_003_a,F,4,0.1287
N2C3_WCS365_DAY7_003_a,G,4,0.1085
N2C3_WCS365_DAY7_003_a,H,4,0.1108
N2C3_WCS365_DAY7_003_a,A,5,0.1102
N2C3_WCS365_DAY7_003_a,B,5,0.1452
N2C3_WCS365_DAY7_003_a,C,5,0.1299
N2C3_WCS365_DAY7_003_a,D,5,0.1216
N2C3_WCS365_DAY7_003_a,E,5,0.1457
N2C3_WCS365_DAY7_003_a,F,5,0.1064
