experiment,plate,well,row,col,neon_top,crim_top,neon_btm,crim_btm,abs600,readtime
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,D7,D,7,233512,3979,29350,491,0.1171,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,D8,D,8,170180,3481,28248,737,0.1151,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,D9,D,9,172761,4227,26860,982,0.1109,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,D10,D,10,194013,3729,37845,2210,0.1115,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,D11,D,11,171736,2983,44196,1473,0.1132,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,D12,D,12,104849,2484,37781,981,0.1175,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,E1,E,1,16022,172755,4971,90086,0.1352,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,E2,E,2,19835,182016,2970,43223,0.1107,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,E3,E,3,35593,173331,5387,44700,0.1202,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,E4,E,4,19835,154978,3592,22842,0.1051,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,E5,E,5,22264,156464,2417,18424,0.1063,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,E6,E,6,22126,186557,3868,17194,0.1109,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,E7,E,7,20048,135592,3661,25302,0.1204,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,E8,E,8,151651,8706,22379,491,0.0942,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,E9,E,9,21015,130859,3040,20393,0.1137,7
